file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/8975eeaea1bc817af1c2909e9061d504a732ed1849c81472eacd264255adc46c.json,raw_json,68,184050,0,tex_superscript,tex,11,0,0,169,11,0,0,0,0,12,0,0,3,0,0
python_backend_legacy/dataset/89b6644a0d5a074bc6208c28ca715443c537642d2dc84f5497026bb41976058d.json,raw_json,19,84091,1,tex_superscript,tex,10,0,0,14,10,0,0,0,0,160,157,87,0,0,83
python_backend_legacy/dataset/89c3d179e00a02acc8c177b78b508bd7c2758dd7cf8f2860bc74287bb491a5c9.json,raw_json,22,68175,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,32,32,105
python_backend_legacy/dataset/8a09222834dc62097bb2f29dabf3d730d506a1f141077ab92d8a950d4cce7090.json,raw_json,13,30791,1,numeric,numeric,0,0,0,0,0,0,0,0,0,11,0,1,0,0,56
python_backend_legacy/dataset/8a8c13556cbea3d95e9683dd6e3e51faf1c24109b5c26e57b168e2da3fd524b6.json,raw_json,13,46682,0,hybrid,tex,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0
python_backend_legacy/dataset/8acf60d449fb5feda4f0e40345a33c0412b0ea4fdc22a43f902def2d723c3294.json,raw_json,25,82014,0,hybrid,tex,0,0,0,0,0,0,27,0,0,4,0,0,11,0,0
python_backend_legacy/dataset/8b4dedc6cebb513d09ba583ad4e2a2069121062fd6212f6e3969cb87c7b18802.json,raw_json,20,69809,0,numeric,numeric,0,0,0,0,0,0,0,0,0,18,0,0,25,0,0
python_backend_legacy/dataset/8b74941c01ed3bc458dcc75d6a6f14eedde1dc905749a17f9c5e38f53aeeba91.json,raw_json,25,76431,0,numeric,numeric,0,0,0,0,0,0,0,0,0,29,0,0,6,0,0
python_backend_legacy/dataset/8c017a6eb38ce29afc197b098baebf4440392968a4214b92464bd68ca8e22ee5.json,raw_json,29,122435,0,hybrid,tex,4,0,0,92,4,0,0,0,0,10,0,0,2,0,0
python_backend_legacy/dataset/8c5e5d5da14411a54295f851f8b74682913def1fb05d0463e3997d615249b476.json,raw_json,16,34352,1,hybrid,tex,2,0,0,3,2,0,0,0,0,1,0,0,32,32,73
python_backend_legacy/dataset/8d046568ad6ae5ae29ff5607464dd89b7919adfbb641a9ef9e62e03cc5c06d78.json,raw_json,30,62370,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,84,76,200
python_backend_legacy/dataset/8de3d36c6f71344bf5c8f00e5521a5bf3b301063fc4d008d38700d7fd5792841.json,raw_json,17,59677,0,numeric,numeric,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0
python_backend_legacy/dataset/8df845c0ec8457372844bdfa8e1fe9cf70b4be03f54795018086c62f745636bf.json,raw_json,8,26928,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,42,42,36
